Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_0[23:0],ANC_SYSTEM/Wanc[1]_1[23:0],ANC_SYSTEM/Wanc[2]_2[23:0],ANC_SYSTEM/Wanc[3]_3[23:0],ANC_SYSTEM/Wanc[4]_4[23:0],ANC_SYSTEM/Wanc[5]_5[23:0],ANC_SYSTEM/Wanc[6]_6[23:0],ANC_SYSTEM/Wanc[7]_7[23:0],ANC_SYSTEM/Wanc[8]_8[23:0],ANC_SYSTEM/Wanc[9]_9[23:0],ANC_SYSTEM/Wanc[10]_10[23:0],ANC_SYSTEM/Wanc[11]_11[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
200,200,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
201,201,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
202,202,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
203,203,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
204,204,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
205,205,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
206,206,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
207,207,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
208,208,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
209,209,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
210,210,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
211,211,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
212,212,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
213,213,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
214,214,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
215,215,0,-358520,-324777,-281827,-231137,-177289,-128306,-95352,-79167,-70068,-62116,-54450,-46565
