Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wsp[0]_36[23:0],ANC_SYSTEM/Wsp[1]_37[23:0],ANC_SYSTEM/Wsp[2]_38[23:0],ANC_SYSTEM/Wsp[3]_39[23:0],ANC_SYSTEM/Wsp[4]_40[23:0],ANC_SYSTEM/Wsp[5]_41[23:0],ANC_SYSTEM/Wsp[6]_42[23:0],ANC_SYSTEM/Wsp[7]_43[23:0],ANC_SYSTEM/Wsp[8]_44[23:0],ANC_SYSTEM/Wsp[9]_45[23:0],ANC_SYSTEM/Wsp[10]_46[23:0],ANC_SYSTEM/Wsp[11]_47[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
153,153,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
154,154,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
155,155,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
156,156,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
157,157,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
158,158,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
159,159,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
160,160,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
161,161,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
162,162,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
163,163,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
164,164,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
165,165,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
166,166,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
167,167,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
168,168,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
169,169,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
170,170,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
171,171,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
172,172,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
173,173,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
174,174,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
175,175,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
176,176,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
177,177,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
178,178,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
179,179,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
180,180,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
181,181,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
182,182,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
183,183,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
184,184,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
185,185,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
186,186,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
187,187,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
188,188,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
189,189,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
190,190,0,-125393,-83733,-39152,-72540,-11586,-75887,-103529,-19740,-11510,-72057,-100801,-51404
